CLIENTNUM,Customer_Age,Dependent_count,Months_on_book,Total_Relationship_Count,Months_Inactive_12_mon,Contacts_Count_12_mon,Credit_Limit,Total_Revolving_Bal,Avg_Open_To_Buy,Total_Amt_Chng_Q4_Q1,Total_Trans_Amt,Total_Trans_Ct,Total_Ct_Chng_Q4_Q1,Avg_Utilization_Ratio,Gender_M,Education_Level_Doctorate,Education_Level_Graduate,Education_Level_High School,Education_Level_Post-Graduate,Education_Level_Uneducated,Education_Level_Unknown,Marital_Status_Married,Marital_Status_Single,Marital_Status_Unknown,Income_Category_$40K - $60K,Income_Category_$60K - $80K,Income_Category_$80K - $120K,Income_Category_Less than $40K,Income_Category_Unknown,Card_Category_Gold,Card_Category_Platinum,Card_Category_Silver,Churn_Probability,Risk_Segment,Action,Simulated_Outcome,Risk_Category
712050933,48,4,32,5,2,3,25190.0,0,25190.0,0.467,1533,41,0.323,0.0,True,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,1.0,High,Offer loyalty discount and schedule service call,1,High Risk
713696808,46,3,39,3,3,0,1801.0,316,1485.0,0.494,2252,42,0.4,0.175,False,False,False,True,False,False,False,True,False,False,False,False,False,True,False,False,False,False,1.0,High,Offer loyalty discount and schedule service call,1,High Risk
816528333,64,0,56,6,6,1,2609.0,1115,1494.0,0.753,4546,59,0.903,0.427,False,False,False,True,False,False,False,False,True,False,False,False,False,True,False,False,False,False,1.0,High,Offer loyalty discount and schedule service call,1,High Risk
779749908,48,4,33,2,2,3,34516.0,2061,32455.0,0.722,1350,32,0.455,0.06,True,False,False,False,False,False,False,True,False,False,False,True,False,False,False,True,False,False,1.0,High,Offer loyalty discount and schedule service call,1,High Risk
721448283,39,1,26,3,3,1,1876.0,1536,340.0,0.712,2579,47,0.469,0.819,False,False,True,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,1.0,High,Offer loyalty discount and schedule service call,1,High Risk
708708858,50,1,36,1,3,4,2422.0,502,1920.0,0.997,2548,46,0.484,0.207,False,False,True,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,1.0,High,Offer loyalty discount and schedule service call,0,High Risk
757194408,43,3,36,2,3,3,1438.3,0,1438.3,0.539,1707,38,1.111,0.0,True,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,1.0,High,Offer loyalty discount and schedule service call,1,High Risk
719098308,56,2,42,5,4,2,2423.0,268,2155.0,0.804,2516,59,0.639,0.111,False,False,False,True,False,False,False,False,True,False,False,False,False,True,False,False,False,False,1.0,High,Offer loyalty discount and schedule service call,1,High Risk
718890933,45,4,27,3,2,2,1438.3,0,1438.3,0.68,2429,38,0.652,0.0,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,1.0,High,Offer loyalty discount and schedule service call,1,High Risk
770724558,42,2,28,6,1,3,7340.0,0,7340.0,0.65,838,24,0.412,0.0,True,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,1.0,High,Offer loyalty discount and schedule service call,1,High Risk
779269158,43,2,25,4,2,4,21961.0,0,21961.0,0.653,2237,39,0.393,0.0,False,False,True,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,1.0,High,Offer loyalty discount and schedule service call,1,High Risk
717666783,56,3,46,1,3,3,2272.0,1350,922.0,0.762,2354,49,0.96,0.594,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,1.0,High,Offer loyalty discount and schedule service call,1,High Risk
721426383,36,3,36,4,3,0,1558.0,261,1297.0,0.775,2424,40,0.6,0.168,False,False,False,False,False,False,True,False,True,False,False,False,False,True,False,False,False,False,1.0,High,Offer loyalty discount and schedule service call,1,High Risk
771776808,44,4,33,5,4,3,1527.0,0,1527.0,0.531,1877,38,0.462,0.0,True,False,False,False,False,True,False,True,False,False,True,False,False,False,False,False,False,False,1.0,High,Offer loyalty discount and schedule service call,0,High Risk
